Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,5.0,5.15,5.0,5.09,5.09,85300
2016-09-26,5.04,5.05,4.97,5.01,5.01,111100
2016-09-27,5.0,5.07,4.91,4.92,4.92,126100
2016-09-28,4.95,5.07,4.92,5.05,5.05,105400
2016-09-29,5.03,5.1,4.84,4.84,4.84,170600
2016-09-30,4.85,5.04,4.85,5.02,5.02,120800
2016-10-03,4.98,5.21,4.96,5.19,5.19,252100
2016-10-04,5.21,5.21,5.04,5.06,5.06,146900
2016-10-05,5.1,5.39,5.07,5.27,5.27,247800
2016-10-06,5.18,5.38,5.18,5.35,5.35,189200
2016-10-07,5.36,5.38,5.19,5.23,5.23,98500
2016-10-10,5.29,5.46,5.28,5.4,5.4,109000
2016-10-11,5.4,5.5,5.32,5.35,5.35,135400
2016-10-12,5.33,5.33,4.82,4.86,4.86,329600
2016-10-13,4.8,4.9,4.66,4.67,4.67,239800
2016-10-14,4.68,4.78,4.62,4.66,4.66,219200
2016-10-17,4.68,4.79,4.58,4.73,4.73,126600
2016-10-18,4.79,4.91,4.75,4.88,4.88,121900
2016-10-19,4.88,5.05,4.88,4.97,4.97,86100
2016-10-20,4.94,5.23,4.93,5.15,5.15,129800
2016-10-21,5.1,5.36,5.08,5.29,5.29,137100
2016-10-24,5.34,5.39,5.15,5.18,5.18,165400
2016-10-25,5.12,5.15,4.95,5.06,5.06,114200
2016-10-26,5.02,5.2,5.0,5.02,5.02,58800
2016-10-27,5.06,5.12,4.85,4.85,4.85,95500
2016-10-28,4.85,4.95,4.84,4.91,4.91,91400
2016-10-31,4.89,4.91,4.86,4.88,4.88,90200
2016-11-01,4.92,4.97,4.8,4.8,4.8,125900
2016-11-02,4.79,4.9,4.78,4.8,4.8,88700
2016-11-03,4.82,4.83,4.62,4.62,4.62,108900
2016-11-04,4.64,4.83,4.64,4.68,4.68,118100
2016-11-07,4.76,4.88,4.73,4.76,4.76,93500
2016-11-08,4.73,4.87,4.62,4.87,4.87,100000
2016-11-09,4.69,5.06,4.69,4.99,4.99,243900
2016-11-10,5.1,5.18,5.0,5.08,5.08,714000
2016-11-11,5.1,5.18,4.9,5.07,5.07,661900
2016-11-14,5.15,5.39,5.14,5.38,5.38,603500
2016-11-15,5.4,5.75,5.4,5.69,5.69,1201900
2016-11-16,5.65,5.95,5.61,5.87,5.87,707200
2016-11-17,5.93,6.14,5.92,5.93,5.93,918200
2016-11-18,5.98,6.0,5.83,5.87,5.87,324100
2016-11-21,5.94,6.12,5.87,6.02,6.02,417400
2016-11-22,6.1,6.1,5.83,5.9,5.9,349700
2016-11-23,5.93,6.09,5.93,6.01,6.01,330300
2016-11-25,6.01,6.06,5.9,5.94,5.94,119100
2016-11-28,6.04,6.04,5.7,5.77,5.77,403900
2016-11-29,5.86,6.06,5.8,5.99,5.99,554700
2016-11-30,6.0,6.08,5.7,5.75,5.75,355400
2016-12-01,5.79,5.9,5.68,5.81,5.81,255500
2016-12-02,5.82,6.0,5.75,5.9,5.9,246700
2016-12-05,5.94,6.09,5.94,6.03,6.03,385700
2016-12-06,6.0,6.27,5.94,6.23,6.23,354000
2016-12-07,6.35,6.92,6.3,6.79,6.79,492400
2016-12-08,6.84,7.54,6.7,7.51,7.51,670500
2016-12-09,7.51,8.34,7.51,8.07,8.07,1425800
2016-12-12,8.13,8.25,7.45,7.48,7.48,773700
2016-12-13,7.6,7.66,7.26,7.5,7.5,464100
2016-12-14,7.52,7.54,7.12,7.17,7.17,398000
2016-12-15,7.13,7.38,6.81,6.99,6.99,558100
2016-12-16,7.05,7.33,7.01,7.12,7.12,520500
2016-12-19,6.96,7.19,6.83,6.94,6.94,364200
2016-12-20,6.85,7.19,6.75,7.15,7.15,365900
2016-12-21,7.18,7.19,7.02,7.09,7.09,208000
2016-12-22,7.1,7.14,6.5,6.68,6.68,363500
2016-12-23,6.66,6.79,6.44,6.54,6.54,265700
2016-12-27,6.54,6.65,6.38,6.63,6.63,275300
2016-12-28,6.69,6.72,6.39,6.45,6.45,190700
2016-12-29,6.45,6.62,6.41,6.53,6.53,221100
2016-12-30,6.53,6.55,6.22,6.35,6.35,245900
2017-01-03,6.36,6.6,6.3,6.49,6.49,272200
2017-01-04,6.51,6.74,6.5,6.69,6.69,193200
2017-01-05,6.6,6.6,6.22,6.29,6.29,288000
2017-01-06,6.29,6.29,5.82,5.83,5.83,548300
2017-01-09,5.85,5.89,5.66,5.73,5.73,261400
2017-01-10,5.8,6.03,5.8,5.88,5.88,249100
2017-01-11,5.91,5.91,5.66,5.76,5.76,179800
2017-01-12,5.78,5.78,5.5,5.65,5.65,294700
2017-01-13,5.66,5.76,5.55,5.59,5.59,135100
2017-01-17,5.42,5.42,5.05,5.18,5.18,685500
2017-01-18,5.12,5.18,5.0,5.17,5.17,340500
2017-01-19,5.15,5.15,5.02,5.09,5.09,386400
2017-01-20,5.15,5.18,5.04,5.09,5.09,229800
2017-01-23,5.09,5.13,4.96,5.08,5.08,202100
2017-01-24,5.08,5.15,5.01,5.06,5.06,234800
2017-01-25,5.07,5.2,5.05,5.1,5.1,234000
2017-01-26,5.11,5.11,5.0,5.01,5.01,215100
2017-01-27,5.01,5.07,4.99,5.06,5.06,331700
2017-01-30,5.03,5.04,4.85,4.88,4.88,330900
2017-01-31,4.83,4.88,4.75,4.87,4.87,190800
2017-02-01,4.9,5.03,4.71,4.77,4.77,243100
2017-02-02,4.76,4.85,4.65,4.68,4.68,251200
2017-02-03,4.68,4.76,4.64,4.65,4.65,285500
2017-02-06,4.65,4.88,4.62,4.63,4.63,285700
2017-02-07,4.63,4.63,4.3,4.32,4.32,650200
2017-02-08,4.2,4.2,3.75,3.8,3.8,1645800
2017-02-09,3.85,4.25,3.85,4.21,4.21,1255200
2017-02-10,4.38,4.54,4.2,4.2,4.2,687300
2017-02-13,4.2,4.45,4.2,4.38,4.38,311600
2017-02-14,4.35,4.36,4.2,4.25,4.25,338600
2017-02-15,4.3,4.35,4.21,4.27,4.27,215200
2017-02-16,4.25,4.3,4.18,4.26,4.26,192400
2017-02-17,4.27,4.34,4.19,4.31,4.31,229600
2017-02-21,4.3,4.38,4.22,4.31,4.31,170700
2017-02-22,4.32,4.33,4.21,4.26,4.26,97700
2017-02-23,4.29,4.3,4.19,4.21,4.21,155500
2017-02-24,4.23,4.34,4.16,4.3,4.3,260800
2017-02-27,4.27,4.37,4.21,4.3,4.3,241300
2017-02-28,4.27,4.3,4.1,4.2,4.2,292900
2017-03-01,4.17,4.32,4.12,4.21,4.21,244600
2017-03-02,4.21,4.25,4.15,4.21,4.21,204600
2017-03-03,4.21,4.26,4.05,4.12,4.12,307000
2017-03-06,4.1,4.12,4.0,4.05,4.05,376600
2017-03-07,4.05,4.08,3.87,3.96,3.96,494200
2017-03-08,3.95,4.4,3.93,4.39,4.39,346300
2017-03-09,4.35,4.35,3.92,3.94,3.94,391000
2017-03-10,4.0,4.06,3.95,4.01,4.01,160400
2017-03-13,4.01,4.01,3.92,3.96,3.96,239800
2017-03-14,3.93,4.02,3.85,3.92,3.92,178000
2017-03-15,3.94,4.01,3.86,3.98,3.98,220000
2017-03-16,3.98,4.16,3.98,4.1,4.1,184400
2017-03-17,4.13,4.15,4.02,4.14,4.14,213900
2017-03-20,4.14,4.14,3.95,4.0,4.0,206100
2017-03-21,4.02,4.02,3.85,3.96,3.96,191000
2017-03-22,3.94,3.94,3.82,3.94,3.94,163600
2017-03-23,3.93,4.03,3.93,3.97,3.97,135100
2017-03-24,3.98,3.98,3.9,3.95,3.95,149300
2017-03-27,3.89,3.98,3.88,3.96,3.96,160700
2017-03-28,3.96,4.05,3.96,4.05,4.05,174000
2017-03-29,4.05,4.43,4.02,4.4,4.4,355700
2017-03-30,4.4,4.47,4.31,4.37,4.37,217500
2017-03-31,4.35,4.35,4.21,4.23,4.23,122900
2017-04-03,4.26,4.26,4.05,4.08,4.08,107000
2017-04-04,4.05,4.14,4.05,4.1,4.1,139900
2017-04-05,4.1,4.18,4.03,4.06,4.06,153300
2017-04-06,4.11,4.19,4.03,4.15,4.15,116000
2017-04-07,4.15,4.19,4.07,4.07,4.07,145100
2017-04-10,4.03,4.26,3.96,4.21,4.21,117800
2017-04-11,4.2,4.24,4.15,4.21,4.21,66000
2017-04-12,4.17,4.17,3.97,4.05,4.05,192200
2017-04-13,4.07,4.1,3.97,4.03,4.03,155800
2017-04-17,4.06,4.13,3.97,4.1,4.1,158500
2017-04-18,4.06,4.09,4.02,4.04,4.04,87500
2017-04-19,4.06,4.13,4.02,4.09,4.09,137300
2017-04-20,4.1,4.3,4.07,4.27,4.27,167100
2017-04-21,4.25,4.28,4.12,4.24,4.24,82000
2017-04-24,4.3,4.33,4.19,4.26,4.26,84200
2017-04-25,4.26,4.31,4.14,4.24,4.24,100700
2017-04-26,4.24,4.42,4.23,4.32,4.32,178700
2017-04-27,4.33,4.37,4.22,4.34,4.34,102500
2017-04-28,4.33,4.37,4.11,4.12,4.12,157000
2017-05-01,4.1,4.19,4.05,4.18,4.18,83500
2017-05-02,4.12,4.35,4.12,4.29,4.29,118800
2017-05-03,4.25,4.3,4.12,4.21,4.21,106300
2017-05-04,4.24,4.24,4.04,4.04,4.04,89800
2017-05-05,4.12,4.15,4.03,4.11,4.11,60800
2017-05-08,4.11,4.12,4.06,4.09,4.09,57300
2017-05-09,4.09,4.14,3.97,4.09,4.09,100100
2017-05-10,4.08,4.1,4.01,4.04,4.04,92200
2017-05-11,4.06,4.09,3.9,3.98,3.98,170900
2017-05-12,3.93,3.98,3.87,3.9,3.9,168500
2017-05-15,3.9,3.98,3.86,3.93,3.93,106100
2017-05-16,3.9,3.92,3.81,3.88,3.88,128900
2017-05-17,3.84,3.96,3.82,3.9,3.9,127400
2017-05-18,3.91,3.99,3.82,3.9,3.9,190100
2017-05-19,3.9,4.02,3.86,4.01,4.01,200700
2017-05-22,4.04,4.23,3.97,4.19,4.19,194600
2017-05-23,4.15,4.25,4.09,4.15,4.15,727400
2017-05-24,5.6,6.07,5.18,5.5,5.5,9697500
2017-05-25,5.55,5.69,5.4,5.58,5.58,1700300
2017-05-26,5.57,5.69,5.38,5.68,5.68,957300
2017-05-30,5.65,5.83,5.49,5.78,5.78,866700
2017-05-31,5.69,5.83,5.61,5.76,5.76,581100
2017-06-01,5.71,5.94,5.68,5.78,5.78,460600
2017-06-02,5.72,5.77,5.54,5.63,5.63,421200
2017-06-05,5.55,5.72,5.45,5.63,5.63,373000
2017-06-06,5.59,5.6,5.22,5.36,5.36,485100
2017-06-07,5.32,5.48,5.24,5.45,5.45,325300
2017-06-08,5.44,5.7,5.42,5.62,5.62,291900
2017-06-09,5.6,5.89,5.52,5.82,5.82,521600
2017-06-12,5.83,5.99,5.8,5.84,5.84,313800
2017-06-13,5.87,5.99,5.77,5.94,5.94,376000
2017-06-14,5.92,5.99,5.73,5.98,5.98,399700
2017-06-15,5.86,6.12,5.77,5.91,5.91,792600
2017-06-16,5.87,5.87,5.57,5.75,5.75,295100
2017-06-19,5.77,5.93,5.65,5.85,5.85,263800
2017-06-20,5.89,5.89,5.55,5.76,5.76,313300
2017-06-21,5.79,5.8,5.32,5.41,5.41,507700
2017-06-22,5.41,5.57,5.35,5.49,5.49,346000
2017-06-23,5.5,5.58,5.38,5.41,5.41,514000
2017-06-26,5.41,5.73,5.41,5.67,5.67,308900
2017-06-27,5.67,5.77,5.54,5.7,5.7,200500
2017-06-28,5.74,5.81,5.62,5.69,5.69,165300
2017-06-29,5.7,5.87,5.64,5.86,5.86,284600
2017-06-30,5.86,5.96,5.66,5.92,5.92,208200
2017-07-03,5.95,6.37,5.88,6.28,6.28,291100
2017-07-05,6.22,6.22,5.62,5.67,5.67,302800
2017-07-06,5.65,5.95,5.58,5.67,5.67,269200
2017-07-07,5.67,5.7,5.57,5.58,5.58,199100
2017-07-10,5.58,5.64,5.42,5.44,5.44,187600
2017-07-11,5.43,5.61,5.43,5.57,5.57,295300
2017-07-12,5.6,5.74,5.49,5.66,5.66,175500
2017-07-13,5.65,5.79,5.64,5.77,5.77,313800
2017-07-14,5.77,5.84,5.63,5.76,5.76,217500
2017-07-17,5.7,5.85,5.63,5.66,5.66,158800
2017-07-18,5.62,5.74,5.53,5.58,5.58,147100
2017-07-19,5.63,5.67,5.53,5.57,5.57,196800
2017-07-20,5.58,5.62,5.4,5.55,5.55,191800
2017-07-21,5.59,5.61,5.21,5.23,5.23,313600
2017-07-24,5.22,5.34,5.21,5.27,5.27,225100
2017-07-25,5.3,5.55,5.27,5.47,5.47,212700
2017-07-26,5.46,5.52,5.26,5.38,5.38,182700
2017-07-27,5.39,5.44,5.27,5.33,5.33,86300
2017-07-28,5.31,5.42,5.26,5.28,5.28,73500
2017-07-31,5.29,5.37,5.21,5.35,5.35,173800
2017-08-01,5.43,5.57,5.33,5.55,5.55,168700
2017-08-02,5.5,5.55,5.41,5.51,5.51,426700
2017-08-03,5.24,5.35,4.27,4.32,4.32,1206900
2017-08-04,4.38,4.73,4.38,4.7,4.7,553200
2017-08-07,4.71,4.75,4.5,4.6,4.6,269200
2017-08-08,4.67,4.68,4.47,4.54,4.54,327600
2017-08-09,4.49,4.63,4.45,4.6,4.6,217000
2017-08-10,4.54,4.58,4.31,4.4,4.4,594600
2017-08-11,4.35,4.54,4.31,4.46,4.46,203100
2017-08-14,4.49,4.65,4.38,4.64,4.64,213000
2017-08-15,4.63,4.66,4.35,4.36,4.36,261300
2017-08-16,4.32,4.38,4.24,4.28,4.28,256300
2017-08-17,4.24,4.38,4.2,4.33,4.33,193400
2017-08-18,4.33,4.4,4.27,4.31,4.31,175400
2017-08-21,4.15,4.33,4.02,4.16,4.16,270100
2017-08-22,4.17,4.21,4.06,4.15,4.15,148100
2017-08-23,4.08,4.21,4.08,4.16,4.16,97700
2017-08-24,4.23,4.3,4.16,4.28,4.28,159300
2017-08-25,4.28,4.37,4.21,4.35,4.35,183000
2017-08-28,4.37,4.4,4.23,4.29,4.29,153800
2017-08-29,4.31,4.31,4.06,4.11,4.11,193300
2017-08-30,4.15,4.17,4.08,4.11,4.11,113800
2017-08-31,4.17,4.17,4.02,4.06,4.06,199300
2017-09-01,4.06,4.22,4.03,4.22,4.22,152000
2017-09-05,4.19,4.25,4.02,4.11,4.11,124000
2017-09-06,4.15,4.2,4.04,4.11,4.11,139200
2017-09-07,4.14,4.22,4.12,4.2,4.2,113300
2017-09-08,4.2,4.25,4.08,4.23,4.23,163600
2017-09-11,4.22,4.23,4.16,4.18,4.18,114300
2017-09-12,4.18,4.28,4.08,4.1,4.1,184800
2017-09-13,4.09,4.24,4.09,4.15,4.15,184600
2017-09-14,4.17,4.21,4.1,4.15,4.15,177700
2017-09-15,4.16,4.2,4.08,4.15,4.15,227800
2017-09-18,4.15,4.18,4.1,4.14,4.14,103400
2017-09-19,4.17,4.26,4.11,4.19,4.19,157800
2017-09-20,4.16,4.22,4.12,4.21,4.21,158600
2017-09-21,4.2,4.31,4.18,4.25,4.25,183000
2017-09-22,4.25,4.31,4.2,4.29,4.29,90100
